feature,importance
tcprtt,71.90423731440113
synack,36.373286012674605
ackdat,31.42043825093598
proto_arp,9.046908347015414
proto_tcp,7.19655717809427
proto_sctp,6.869558873825779
state_PAR,6.152553876731481
state_no,5.869122342437098
state_REQ,5.2143836416131455
state_INT,4.678060826268186
proto_unas,4.539500410801555
state_FIN,4.519485026092779
state_ECO,3.917268673967464
dload,3.7387130579203602
service_ssh,3.6409727193771757
service_pop3,3.345521745593297
proto_Other,3.239050438108205
state_RST,3.1174236280502465
service_dhcp,3.112079838987226
state_URN,2.7885327964276807
service_ssl,2.6522632915277304
service_ftp-data,2.331254231071831
sinpkt,2.1812197316280177
ct_ftp_cmd,2.1357351829047113
service_Unknown,2.0648937055587244
dbytes,2.0312320644465447
service_ftp,2.0260933019045306
service_irc,2.005155143805226
dinpkt,1.8630888621741517
is_sm_ips_ports,1.750127709983322
proto_ospf,1.619766744719839
sload,1.2891343582278214
ct_dst_sport_ltm,1.2579196641557278
djit,1.2509077222648377
state_CON,1.198124567594484
ct_src_dport_ltm,1.0385909836821525
service_dns,0.915186054150179
service_http,0.9041631241140908
ct_flw_http_mthd,0.8504866645557145
dloss,0.7585506669360861
sjit,0.6070723707510413
service_smtp,0.5439924144923777
dmean,0.46770298645423974
service_radius,0.4514512660803746
spkts,0.3606649732829264
dpkts,0.31452297662196194
service_snmp,0.2279005642144871
dur,0.21250961364087734
response_body_len,0.19766547542432375
sloss,0.09706818175987818
rate,0.05636619730321396
sbytes,0.056028691274308665
smean,0.03556657286834426
dwin,0.02539290325696812
proto_udp,0.02441094227001179
dtcpb,0.018787599697418108
stcpb,0.015715415751076805
swin,0.008917503601713308
