,precision,recall,f1-score,support
0,0.9342941120697829,0.599647051664334,0.7304670126019274,32866.0
1,0.6914309835373575,0.9551020408163265,0.8021547502448579,30870.0
accuracy,0.771808710932597,0.771808710932597,0.771808710932597,0.771808710932597
macro avg,0.8128625478035703,0.7773745462403303,0.7663108814233927,63736.0
weighted avg,0.8166653814027193,0.771808710932597,0.7651883704065789,63736.0
