,precision,recall,f1-score,support
0,0.9603761706146219,0.7426215541897402,0.8375772134522993,32866.0
1,0.7792651740514587,0.9673793326854552,0.8631922765637646,30870.0
accuracy,0.8514811095770052,0.8514811095770052,0.8514811095770052,0.8514811095770052
macro avg,0.8698206723330403,0.8550004434375977,0.850384745008032,63736.0
weighted avg,0.8726565700136295,0.8514811095770052,0.8499836556239282,63736.0
