,precision,recall,f1-score,support
0,0.9742405400604015,0.667437473376742,0.7921707413961215,32866.0
1,0.7348374575448812,0.9812115322319404,0.8403384658066306,30870.0
accuracy,0.8194113217020208,0.8194113217020208,0.8194113217020208,0.8194113217020208
macro avg,0.8545389988026413,0.8243245028043411,0.816254603601376,63736.0
weighted avg,0.8582876538225749,0.8194113217020208,0.8155003769639704,63736.0
