mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__penalty,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_train_pr_auc,split1_train_pr_auc,split2_train_pr_auc,split3_train_pr_auc,split4_train_pr_auc,mean_train_pr_auc,std_train_pr_auc
177.93624243736267,17.344719019685762,0.08729305267333984,0.0037569999682720216,0.1,,l1,"{'model__C': 0.1, 'model__class_weight': None, 'model__penalty': 'l1'}",0.8805060676478182,0.8743609604957397,0.8773497211319975,0.8795703367072919,0.8778661433588102,0.8779306458683316,0.002116868969584095,8,0.8775707812076378,0.8785390603818893,0.8784889875803661,0.8773270675721035,0.8778822071316068,0.8779616207747207,0.00048441141780217634,0.8353624792473713,0.8291156712984264,0.8300677531587621,0.835631652012957,0.8348947221964568,0.8330144555827946,0.002820705900789881,7,0.8332678938494584,0.833387104207955,0.833375584798691,0.8325070903179691,0.8323781905222215,0.8329831727392591,0.00044516781581256545,0.9448153557271021,0.9399123722094721,0.9458528951486698,0.9419926969222744,0.9389735030252452,0.9423093646065528,0.002676207154267421,7,0.9409524803087997,0.9431954514631474,0.9430926114284224,0.941632110163524,0.943247613583016,0.942424053389382,0.000950050276226448,0.886724104170746,0.8810443455727766,0.8841858877456479,0.88563021088769,0.8838807875484853,0.8842930671850692,0.0019200806312413383,8,0.8838422812626319,0.8848977194871293,0.8848459637360218,0.8837135304484042,0.884351579024587,0.8843302147917548,0.0004913031022505752,0.9316488704564492,0.9308010548669088,0.9313103787762764,0.9323364295638887,0.9336259270429019,0.931944532141285,0.0009775253453771274,8,0.9326839561701369,0.93198946218494,0.9319442575706169,0.9321616815252655,0.9319719574571319,0.9321502629816182,0.00027750559931169754,0.9089705602827189,0.9116092910545518,0.9110053617018383,0.9113789966147294,0.913147746042843,0.9112223911393362,0.001341570147799128,8,0.9122854851171858,0.9109736840579594,0.9115060337715333,0.9120906350614282,0.9112162131255426,0.9116144102267298,0.0005015910710062593
2.910115909576416,0.4209079151045278,0.060583639144897464,0.00592165371650188,0.1,,l2,"{'model__C': 0.1, 'model__class_weight': None, 'model__penalty': 'l2'}",0.8664601084430674,0.8620191066356829,0.8614439165461681,0.8668663499277008,0.8666597810369758,0.8646898525179191,0.002425718420826733,12,0.8641052454910466,0.8650993454432782,0.865643316377908,0.8643652043688193,0.864739600815926,0.8647905424993956,0.0005432719606445079,0.8280839895013123,0.822361059306229,0.8225233644859813,0.8289362501173598,0.8300659754948162,0.8263941277811397,0.0032878240235301283,11,0.8264175741644761,0.8267307016516341,0.8272880641079713,0.8260594560404807,0.8256550499029989,0.8264301691735122,0.000559410445693037,0.921552263717922,0.9199874817442103,0.918205529473135,0.9211267605633803,0.918735656165241,0.9199215383327777,0.0013013206647139353,12,0.9183662824057169,0.9203745240206562,0.9208199671387215,0.9196463500508567,0.9212873611183559,0.9200988969468614,0.001021284625713377,0.8723215167374346,0.868439192516002,0.8677347793936406,0.8726032812808856,0.8721529015646663,0.8706503342985258,0.0021096999518948178,12,0.8699691167387276,0.8710429856714429,0.8715518198985448,0.8703443169196594,0.8708536209553158,0.8707523720367382,0.0005502403751766069,0.9214881832371906,0.9214048530099168,0.9217368315516259,0.9231785474105538,0.925055718485961,0.9225728267390497,0.0013979378434131648,11,0.9232999554664986,0.9228557976495947,0.9227716950062181,0.9228235400540642,0.9223506500467487,0.9228203276446247,0.00030142112328350305,0.8953528812303938,0.901144343302728,0.8985581517171775,0.9011610115270133,0.9023692092092673,0.8997171193973159,0.00251177840544358,11,0.9008919316390177,0.8998116826861482,0.8999598302398846,0.900443838726536,0.8998949969821275,0.9002004560547426,0.00040981077792686294
206.84043412208558,51.44801939491092,0.12008199691772461,0.02904556907555959,0.1,balanced,l1,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1'}",0.8812290214304157,0.875135553834237,0.8774530055773601,0.8807064656062797,0.8791055567031605,0.8787259206302906,0.002229046523853104,7,0.8781775694901688,0.8794169668332107,0.8786439102481345,0.8787213715820187,0.8785793591365644,0.8787078354580193,0.0004012044686260628,0.8351425942962282,0.8289884340003671,0.8296160877513711,0.8358415658757271,0.8350753861807418,0.832932813620887,0.0029830651542224187,8,0.8329877430651553,0.833325671202648,0.8326246351161882,0.8328619064045073,0.8321586813287725,0.8327917274234542,0.0003891298954467971,0.9470060504902984,0.9421030669726684,0.9468961919666145,0.9444966092853416,0.9417901105779262,0.9444584058585699,0.002240632712075424,1,0.942960721923739,0.945516665797298,0.9447617557311635,0.9445531126933208,0.9453862604976266,0.9446357033286297,0.0009129845631870906,0.8875635510363707,0.88193359375,0.8843848964677223,0.8868534482758621,0.8852282198362504,0.885192741873241,0.0019826548473190577,7,0.8845692755608837,0.8858832441414364,0.8851557727550398,0.8851982206579655,0.88516623728648,0.8851945500803611,0.00041655407880956073,0.9314615894643198,0.9310068548726138,0.9310295026608655,0.9329749967767047,0.93369443092954,0.9320334749408088,0.0010985627215143476,7,0.9325211460786532,0.9321808144175859,0.9316420338763629,0.9328522925142188,0.9320466641316201,0.9322485902036881,0.00041280054716505936,0.9086498647370049,0.9117778274387143,0.9105774788854877,0.9120112599212646,0.9131576052348414,0.9112348072434624,0.0015302882173536426,7,0.9120023173757785,0.9110949311174754,0.9110487414555483,0.9127841842255332,0.9112231946141915,0.9116306737577056,0.0006723704353250648
3.4271082401275637,0.8712338804031343,0.06680688858032227,0.007188925505054022,0.1,balanced,l2,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l2'}",0.8679060160082623,0.8626904208623806,0.862786614335881,0.8680024788266887,0.8674860565998761,0.8657743173266178,0.0024849821263876557,11,0.8648411376634778,0.8662483700633901,0.8663275581605515,0.8652301892638591,0.865656226600222,0.8656606963503002,0.0005739508408071728,0.8281045751633986,0.8219763874686251,0.8224725377024763,0.828857490408908,0.8297632468996617,0.8262348475286139,0.003320036040100079,12,0.8260533888589945,0.8266483003361972,0.8267986829507508,0.8258594917787743,0.8253668763102725,0.8261453480469978,0.0005245943280085686,0.9252034216565825,0.9223868141039016,0.9217527386541471,0.9241523213354199,0.9213436261214271,0.9229677843742957,0.0014732925342724626,11,0.9208700641594074,0.9234520890929008,0.9234019247320241,0.922202227264429,0.9241301966511919,0.9228113003799907,0.0011522415370225718,0.8739653133622388,0.8692916482328074,0.8692871550154966,0.8739147592738753,0.8731586752347998,0.8719235102238436,0.0021696419872385825,11,0.8708885737189369,0.87237292729199,0.8724342705073553,0.8713759410539804,0.8719608229156413,0.8718065070975808,0.0005944276091367659,0.921427132364671,0.9213427993797495,0.9216934630930417,0.923139446450969,0.9250113472564754,0.9225228377089814,0.0014038382401285556,12,0.9232420870520903,0.9227986626920681,0.9227320120232183,0.9227897565776438,0.9222963396199185,0.9227717715929877,0.0002999531984688407,0.8951699254362073,0.9009457831583032,0.8984033675643144,0.9010260406965387,0.9022117976424409,0.8995513828995609,0.0025184075530794835,12,0.9007049739562301,0.8996035717557205,0.8998109231584859,0.9002881980542544,0.8996985489187717,0.9000212431686926,0.000415106780381011
304.6230680465698,30.77919772085223,0.12577619552612304,0.014894607273459403,1.0,,l1,"{'model__C': 1.0, 'model__class_weight': None, 'model__penalty': 'l1'}",0.8812806609863155,0.8755486702814356,0.8797769055980169,0.8811196033877298,0.8805515389382359,0.8796554758383468,0.0021198312382750494,4,0.8793395044992706,0.8805143498973624,0.8799607529241653,0.8790183066952413,0.8792636009192079,0.8796193029870494,0.0005447393374476563,0.8375173691523854,0.8314243487899501,0.832798312391085,0.8373946076160474,0.8385625174564751,0.8355394310811887,0.002861489268137261,4,0.8354620759868573,0.8363047751185108,0.8359590071020427,0.834905442271235,0.8349431555596636,0.8355148912076619,0.0005517707178008232,0.9431462549551429,0.9389735030252452,0.9473135106937924,0.9429316640584247,0.9395994158147298,0.942392869709467,0.0029854999433489345,5,0.9417088310468937,0.943247613583016,0.9424406019351642,0.9418407532013666,0.942386938605185,0.9423249476743252,0.0005445319364115339,0.8871988616849026,0.8819321967470115,0.886372510737993,0.8870350377858475,0.8862104589954248,0.8857498131902359,0.0019455429012210832,4,0.8854095144678764,0.8865628102516332,0.8860120142209146,0.8851550914862066,0.8854174324291211,0.8857113725711503,0.0005103526804854554,0.9347905208338155,0.9344831062752211,0.9341823629280654,0.9350381298368434,0.9369296899408044,0.93508476196295,0.0009663151893110761,3,0.935578376392242,0.9353755118870588,0.9353663674430661,0.9350493999830757,0.935274337985541,0.9353287987381969,0.00017141305038059692,0.9140352804004253,0.9176588976231532,0.9155064849744584,0.9157636236370277,0.9183091648489803,0.9162546902968091,0.001543981985502865,4,0.9170674171739761,0.9162164714725933,0.9168614483299662,0.9167508208348895,0.9167776474856069,0.9167347610594063,0.0002819329753051884
7.350287771224975,2.111673918709899,0.07825589179992676,0.009618531483637891,1.0,,l2,"{'model__C': 1.0, 'model__class_weight': None, 'model__penalty': 'l2'}",0.8760134262845339,0.8705396333591531,0.8722371410865524,0.8757488122288783,0.8746126833298905,0.8738303392578016,0.0021178052544293968,10,0.8736976645106317,0.8748079579637734,0.8745126391076454,0.8735572826564073,0.8737251155464897,0.8740601319569896,0.0005020921273803173,0.8332251182636119,0.8275192005181826,0.8286348091320824,0.8338759185192075,0.8344234722481779,0.8315357037362524,0.0028711468530658903,9,0.83213546391273,0.8323779907637325,0.8319994432458765,0.8315102533732786,0.8306666357931785,0.8317379574177594,0.0006059056182236843,0.9370957646567911,0.9329230127268934,0.9353155972874283,0.9353155972874283,0.9315668683496766,0.9344433680616436,0.0019566556303767784,10,0.9330760002086484,0.9354754577226019,0.9353728190282451,0.933781915864695,0.9356319440822075,0.9346676273812797,0.0010389950689264882,0.8821132223695193,0.8770656597852204,0.8787492648500294,0.8816876475216365,0.8803233438485805,0.8799878276749972,0.0018757592739316097,10,0.8797196778754534,0.8809205113406113,0.8806629834254144,0.8796835458588241,0.8800304186240478,0.8802034274248702,0.0005019210245224442,0.9285299101377668,0.9284102779501252,0.9287309850246525,0.9299939140129891,0.9317400911117694,0.9294810356474607,0.0012633379220951745,9,0.9300705892905308,0.9297629451355649,0.9295844229342932,0.9298098220243615,0.9294996688700197,0.929745489650954,0.0001982440250899042,0.9066632316539667,0.910003297006328,0.908993781199001,0.9102670580683344,0.9113345279797448,0.9094523791814749,0.0015810978639539492,9,0.9103909012693352,0.9095909464101464,0.9097268686004525,0.9105788007571507,0.9096840399110918,0.9099943113896354,0.000407285820028263
265.0094110965729,26.260291248933168,0.08932833671569824,0.006162876626812026,1.0,balanced,l1,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__penalty': 'l1'}",0.8820552543248128,0.876271624064033,0.879983474488742,0.8813778145011362,0.880964676719686,0.8801305688196821,0.0020429813235446474,2,0.8798300992808913,0.8810565862349432,0.8807611867076351,0.8796250871440007,0.8798703813679671,0.8802286681470874,0.0005693085212794671,0.8374930671103716,0.8313364055299539,0.8324938181152121,0.8374074074074074,0.8383678780555813,0.8354197152437053,0.0029043300188140338,5,0.8353120524784035,0.8360288858639227,0.8357905908954569,0.8348990190421235,0.8347976478727084,0.8353656392305229,0.00048243137066797485,0.9451283121218443,0.9409555601919466,0.9483568075117371,0.9435576421491915,0.9409555601919466,0.9437907764333332,0.0027845608412199758,3,0.9431954514631474,0.9450732877784153,0.9447356753514331,0.943379495605456,0.9441604506807156,0.9441088721758335,0.0007337530371167638,0.8880611644775535,0.8827559209238599,0.8866562621927429,0.8873191071866569,0.8867043499631359,0.8862993609487898,0.0018434313588283928,2,0.8859816747513352,0.8872130746159026,0.88693012095392,0.8858304354214626,0.8861174685155495,0.886414554851634,0.0005514133115514336,0.9348001643754473,0.9342721538020291,0.9339302817621549,0.9352546627360867,0.9368794829184528,0.9350273491188343,0.0010302971174881092,4,0.9355810408410594,0.9351944693910539,0.9350839252317686,0.9353350659866779,0.935223234683629,0.9352835472268376,0.00016886564939605486,0.9139594349176039,0.9173179708343866,0.9151343266095676,0.9159938774137671,0.9181657569740815,0.9161142733498814,0.0015017051747310505,6,0.9170044488574669,0.9159165015954561,0.9164508591827047,0.9169908533941737,0.9166294357635778,0.916598419758676,0.00040164966943970876
6.597751617431641,1.5156295823814043,0.08094291687011719,0.005439362610193015,1.0,balanced,l2,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__penalty': 'l2'}",0.8763749031758327,0.87141750580945,0.8724437099772774,0.8767300144598223,0.8749741788886594,0.8743880624622082,0.0021156805552210983,9,0.8742399008482126,0.8752598215784242,0.8750806888894627,0.8742286142167368,0.874318985772935,0.8746256022611542,0.0004493810721129623,0.8324704142011834,0.827125207449751,0.8280313508529276,0.8336114200964034,0.8337836578775738,0.8310044100955679,0.002848058350648187,10,0.8316673237933994,0.8319137116933617,0.8317095184096642,0.8310377555035996,0.8303577615077257,0.83133721418155,0.0005707775775717874,0.9392864594199875,0.9358439390778218,0.9368805425143454,0.9382368283776734,0.933548925516378,0.9367593389812413,0.0019863894141628224,9,0.9352407281831934,0.9374054561577383,0.9373027671282894,0.9362856323188066,0.937666266757081,0.9367801701090217,0.0009015216720542995,0.8826585628859915,0.8781323414252153,0.8790993636808615,0.8828351249202375,0.8808504355529307,0.8807151656930472,0.001874626098749868,9,0.8804183699775348,0.8815147278836485,0.881354685239228,0.8805278261509406,0.8807555212582222,0.8809142261019147,0.00044158172224800383,0.9284468732704431,0.9282462203984075,0.9286181630198488,0.9299740061301557,0.9316761747771101,0.929392287519193,0.0012931422378675986,10,0.9300028785515492,0.9296055986310708,0.9294612420636993,0.9297563037382967,0.9294402463794172,0.9296532538728066,0.00020850344836713714,0.906472353480041,0.9096719907721597,0.9088333889827759,0.9101657450769634,0.9111693551576245,0.9092625666939128,0.0015867378359013195,10,0.9102075285229074,0.9092654957799962,0.9094691235038108,0.9103767320503776,0.9095461835617495,0.9097730126837682,0.00043695642345374056
324.4833517074585,47.15909254600708,0.08521471023559571,0.00267132310137417,10.0,,l1,"{'model__C': 10.0, 'model__class_weight': None, 'model__penalty': 'l1'}",0.8810741027627162,0.8757552285050348,0.8794154100392481,0.8811196033877298,0.8804998967155546,0.8795728482820568,0.0020052253106762888,6,0.8794427876111908,0.8807080057322128,0.8798703813679671,0.878902114694415,0.8795992666993726,0.8797045112210317,0.0005929468749945113,0.8377701511919117,0.8317316577342451,0.8328130738156445,0.8385237519754578,0.8392423959693973,0.8360162061373313,0.0031109426836874398,1,0.8361925074183977,0.8365015494195458,0.8360568465882788,0.8355694589271232,0.8356158045711113,0.8359872333848912,0.0003532702284908927,0.9422073857709159,0.9389735030252452,0.9463745435576422,0.9410537297861241,0.9383475902357605,0.9413913504751376,0.002853859748372064,8,0.9407438318293255,0.9434040999426216,0.9420493962392092,0.9404324126959288,0.9421000469459079,0.9417459575305986,0.0010673843334344656,0.8869249275789267,0.8821050568404547,0.8859696244567076,0.8868351194572806,0.8860323089046493,0.8855734074476038,0.001778513888639997,6,0.8853923758560593,0.8867424985291233,0.885894024305002,0.8849051510466515,0.8856687507662131,0.8857205601006098,0.0006082317013535485,0.935583350101077,0.9346380856699382,0.9344268159395143,0.9359715598930415,0.9373936621454458,0.9356026947498034,0.0010636880722307636,2,0.9362299708178176,0.9354919221626484,0.9357427416941351,0.9362630581049157,0.9359444177301086,0.9359344221019251,0.00029257414564534895,0.9154813313228506,0.9179861890509902,0.9161789948471719,0.9173493652954603,0.9183628399654442,0.9170717440963834,0.001086887819461839,1,0.9183589802006986,0.9168677576238307,0.9177432571959321,0.9186496002432971,0.917987456655888,0.9179214103839293,0.0006112303368011683
11.015395164489746,1.8748141675003234,0.07162132263183593,0.008751559103407913,10.0,,l2,"{'model__C': 10.0, 'model__class_weight': None, 'model__penalty': 'l2'}",0.8818486961012135,0.875703588949135,0.8794154100392481,0.8810679611650486,0.8802416856021483,0.8796554683713588,0.002136539883995399,5,0.8794169668332107,0.8806176330092825,0.8800640347026776,0.8791732293630097,0.8793797929200341,0.8797303313656428,0.0005348082455100908,0.8378078133678948,0.831654809202624,0.8326298403376766,0.8376298219584569,0.8380314447855615,0.8355507459304429,0.002802883865816638,3,0.8355780801629177,0.8361796039100594,0.8360515418604113,0.8352611853976774,0.8349619978284474,0.8356064818319027,0.0004608564328392135,0.94408512413937,0.9389735030252452,0.9466875326030255,0.9424100156494523,0.9397037346129773,0.9423719820060139,0.00283652897096623,6,0.9417088310468937,0.943717072661833,0.9425449234540855,0.941632110163524,0.9426477492045277,0.9424501373061727,0.0007578737952701513,0.8877771237983128,0.8820618354647459,0.8860030269003564,0.8869360302420345,0.8859601671994098,0.8857476367209719,0.00196094983140238,5,0.8854746548299286,0.8866997488206825,0.8861100894936864,0.8852627836555554,0.8855431280549805,0.8858180809709667,0.0005223988712514589,0.9345544567488973,0.9342491757172121,0.9339801474879661,0.9353452083961122,0.9367395945892832,0.9349737165878942,0.0009944092841058267,5,0.9354585108679608,0.9351570977625945,0.9351897196270499,0.9354785917537747,0.935106619354342,0.9352781078731442,0.00015786276819777014,0.9139349382412559,0.9175329801033839,0.9154133589180675,0.9164692824721202,0.9181972516964905,0.9163095622862635,0.0015183973679373085,3,0.9172552396568503,0.9163712381517962,0.9169615213022716,0.9175277454861481,0.9167942711845309,0.9169820031563194,0.00039526941852773733
