,precision,recall,f1-score,support
0,0.9151579043864876,0.6074971094748373,0.7302452316076294,32866.0
1,0.6922636513275603,0.9400388726919339,0.7973457527923176,30870.0
accuracy,0.7685609388728505,0.7685609388728505,0.7685609388728505,0.7685609388728505
macro avg,0.8037107778570239,0.7737679910833856,0.7637954921999734,63736.0
weighted avg,0.8072009320015074,0.7685609388728505,0.7627448093811221,63736.0
