,precision,recall,f1-score,support
0,0.9631103816167419,0.7141422746911702,0.8201481585016424,32866.0
1,0.7613422750596962,0.9708778749595076,0.853436983882909,30870.0
accuracy,0.8384900213380193,0.8384900213380193,0.8384900213380193,0.8384900213380193
macro avg,0.862226328338219,0.8425100748253389,0.8367925711922757,63736.0
weighted avg,0.8653856820840445,0.8384900213380193,0.8362713234244443,63736.0
